,artistFamiliarity,artistHottness,artistName,dancebility,duration,endOfFadeIn,energy,loudness,songHotness,songID,songTitle,tempo,trackID
0,0.8424233180669045,0.564855750476682,b'Every Time I Die',0.0,215.43138,10.733,0.0,-9.171,0.5297306072289015,b'SOAUQNX12AB017B7CF',b'Your Touch Versus Death',187.401,../MillionSongSubset/data/B/B/J/TRBBJBO128F92EB2C5.h5
1,0.7078399684415906,0.5324458709594074,b'Devo',0.0,175.25506,0.0,0.0,-11.951,0.4432913119053975,b'SOBVTQI12A6D4F80ED',b'Be Stiff (Live)',152.942,../MillionSongSubset/data/B/E/N/TRBENDH128F1467D62.h5
2,0.5932165479392963,0.4449041766666399,b'Jellyfish',0.0,216.60689,3.483,0.0,-9.679,0.4785044003818184,b'SOCIAAX12A58A7CEDB',b'The Ghost At #1',169.875,../MillionSongSubset/data/A/Q/H/TRAQHWF128F146FF11.h5
3,0.7734913244983689,0.5004591506589332,b'Aiden',0.0,258.82077,0.0,0.0,-5.249,0.7132176922634441,b'SOCWGLQ12A8C13D14A',b'She Will Love You (Album Version)',143.021,../MillionSongSubset/data/A/T/I/TRATIRE128F42A667F.h5
4,0.9379647503973342,0.5666228875581625,b'Fall Out Boy',0.0,214.33424,0.119,0.0,-4.469,0.7876204040717483,b'SODWYJZ12AB018240F',"b""America's Suitehearts""",160.109,../MillionSongSubset/data/B/B/S/TRBBSGI128F9309855.h5
5,0.6164960392749406,0.39926500014522626,b'GZA/The Genius',0.0,237.34812,0.0,0.0,-5.928,0.5580370467882075,b'SODXCLM12A6D4F7C97',b'Did Ya Say That',104.013,../MillionSongSubset/data/B/D/I/TRBDITJ128F145998C.h5
6,0.717991695486114,0.4977114441406651,b'Extreme',0.0,181.55057,0.133,0.0,-9.334,0.6217655825179751,b'SOEETVW12A6D4F93B8',"b""Teacher's Pet""",120.097,../MillionSongSubset/data/A/A/T/TRAATPA128F146753C.h5
7,0.5891362695784569,0.40924801322128795,b'Mustafa Sandal',0.0,227.65669,0.42,0.0,-13.342,0.3347065490692206,b'SOEVJRN12A8C135403',b'Iki Tas Corba',170.047,../MillionSongSubset/data/A/K/C/TRAKCNI128F427BA71.h5
8,0.7262997133847378,0.4669467031474548,b'The Antlers',0.0,277.99465,15.488,0.0,-8.878,0.6030245814555001,b'SOEYFCZ12AB017D780',b'Stairs To the Attic',80.023,../MillionSongSubset/data/A/D/K/TRADKLT128F9304E1D.h5
9,0.502942306735046,0.39635775416309527,b'Zumpano',0.0,228.46649,0.345,0.0,-8.394,0.41693446369707027,b'SOEZJIE12A8C1318B7',b'Wraparound Shades (Album)',159.784,../MillionSongSubset/data/A/R/D/TRARDHN128F4243072.h5
